date,Strategy (Net),Buy & Hold SPY
2022-09-06,0.05000936507774534,-0.12528517227791292
2022-09-07,0.06430437926873411,-0.106375462396468
2022-09-08,0.06864730634538563,-0.09943750650950622
2022-09-09,0.07961025075699846,-0.08151588760004236
2022-09-12,0.09387188835986482,-0.06426638177367316
2022-09-13,0.07653775375687522,-0.10723935629227976
2022-09-14,0.08151735222227807,-0.09897020028910086
2022-09-15,0.07091559963248328,-0.11657861467287034
2022-09-16,0.07195574477571731,-0.12192644255556573
2022-09-19,0.08421071431682026,-0.10641249340274006
2022-09-20,0.09088895331235314,-0.10169088772259971
2022-09-21,0.0799948207290222,-0.1165261882494647
2022-09-22,0.0653880306273884,-0.13241052387142305
2022-09-23,0.04590304743219553,-0.15718712789947753
2022-09-26,0.03886698917196063,-0.1668969477475618
2022-09-27,0.03930907579420162,-0.16663943233282652
2022-09-28,0.07687572526888053,-0.13276564307519856
2022-09-29,0.057333263309741644,-0.15230797062814538
2022-09-30,0.054177270019275525,-0.15508967571978582
2022-10-03,0.06472923929965146,-0.14296804508790895
2022-10-04,0.10839263888164519,-0.10486784417227468
2022-10-05,0.09697180240200298,-0.11614856522294514
2022-10-06,0.08164782173023677,-0.1288863996502927
2022-10-07,0.04613508997784077,-0.16044357701127143
2022-10-10,0.04069774181678598,-0.16533150527139673
2022-10-11,0.040646947361693275,-0.16456948330468524
2022-10-12,0.03774689773813256,-0.16527022248648915
2022-10-13,0.061033146227423174,-0.1463120585681813
2022-10-14,0.020178323880614357,-0.1795668033240615
2022-10-17,0.04215500801554373,-0.16484445740151477
2022-10-18,0.05276866128054647,-0.1575260228654941
2022-10-19,0.03818251264484984,-0.16990029015551145
2022-10-20,0.024775072577957635,-0.18008132782441244
2022-10-21,0.05016963251858142,-0.16234086260523406
2022-10-24,0.06416843202088596,-0.15121157559744192
2022-10-25,0.07826646438077178,-0.14225742958092835
2022-10-26,0.0678850158571993,-0.1494851317357463
2022-10-27,0.06383225021276107,-0.15026246123191067
2022-10-28,0.08414967403987861,-0.1383603597260562
2022-10-31,0.07354482334740386,-0.14631646005568155
2022-11-01,0.06644498576987501,-0.15151177494281098
2022-11-02,0.03076074281341823,-0.17613652496974375
2022-11-03,0.01392400810421357,-0.18956767248196527
2022-11-04,0.02537198680419528,-0.18175881610405087
2022-11-07,0.03185742432665872,-0.17678815735181985
2022-11-08,0.03751401014276401,-0.17305265390750058
2022-11-09,0.013716105900156927,-0.18740376349672783
2022-11-10,0.0880348119827068,-0.13579552301691022
2022-11-11,0.0999001967690405,-0.1277136550302128
2022-11-14,0.08177282292713128,-0.1416119420571882
2022-11-15,0.09337926321519863,-0.13458697593518065
2022-11-16,0.08037967510458932,-0.1445747076341991
2022-11-17,0.07740689350676089,-0.14511548773972704
2022-11-18,0.07989688859737876,-0.14414076511433715
2022-11-21,0.07664067495829907,-0.14572520820156964
2022-11-22,0.09902744464819757,-0.13178502383862656
2022-11-23,0.10762845326613601,-0.12747054435963623
2022-11-25,0.10354240161131933,-0.1299887962035592
2022-11-28,0.10243053181669781,-0.12434156853353029
2022-11-29,0.08992024074187821,-0.13643874922779076
2022-11-30,0.12349835789420593,-0.09155995245116
2022-12-01,0.13357497795592965,-0.08203222284227996
2022-12-02,0.11830753535521654,-0.09692317071967693
2022-12-05,0.11657538034278025,-0.10538427964356711
2022-12-06,0.09139182085483122,-0.1286003007878035
2022-12-07,0.07055987376368011,-0.14771225019576073
2022-12-08,0.076954641534283,-0.14330403505836453
2022-12-09,0.07609450100131454,-0.14392387547203045
2022-12-12,0.08103746577094317,-0.13968015878270357
2022-12-13,0.09645382871324037,-0.125420404523503
2022-12-14,0.0968532013031822,-0.12499179394258864
2022-12-15,0.05551012591746951,-0.15952865650617043
2022-12-16,0.05013890475054028,-0.1620617205777164
2022-12-19,0.050269745730546544,-0.16022970817123683
2022-12-20,0.06253560749590936,-0.15004259070967985
2022-12-21,0.06349839826174342,-0.1523864448910206
